 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	rlulery
Date:	6/26/2013 10:38:27 AM
StationID:	0
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	AET(mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
6/29/2001	30.0490608101191	10.786077706403	4.31988686124444E-64	0	0	0	3.09134101244789	0.245541861019197	0	0.000262203615465665	0	0.2256748473
6/30/2001	30.008554989071	10.775130253988	1.96122560082445E-68	0	0	0	3.09961964891103	0.0214889694302445	0	0.000164344715751336	0	0
7/1/2001	29.9680976927962	10.76415147216	8.90395045258421E-73	0	0	0	2.98108993028719	0.0321057688617767	0	0.000103161842763437	0	0.011518394
7/2/2001	29.9277051472608	10.7531538662932	4.04238725155602E-77	0	0	0	2.97723295667609	0.0206404905470959	0	6.48483089425829E-05	0	0
7/3/2001	211.045013716998	10.7593217570718	0.289526512553615	0.639860419149303	0.155401538976061	0	3.00265276789742	3.00265276789742	17.9800790420033	3.30448600016659	0	25.9980652
7/4/2001	276.169918615728	10.8277084354491	0.286607995968915	0.975403463544801	0.1549919382244	0	3.01854584850276	3.01854584850276	35.5568692965747	5.70984068280733	0	25.841268652
7/5/2001	56.3884223605721	10.9674853637829	0.130855262041295	0	0.0665013852390222	0	3.10841301594872	3.10841301594872	41.9995535846095	5.82267588565568	0	13.3078203
7/6/2001	31.2512166605825	11.0545938379393	5.9408197057313E-06	0	0	0	3.09135139201507	3.0315362991233	38.9082106303903	3.49267703128831	0	0
7/7/2001	31.8248450060074	11.2085821373778	2.69712797371825E-10	0	0	0	3.14924965817925	3.12904841264155	37.8641867645681	2.10887512851251	0	2.105217238
7/8/2001	238.185179751469	11.4732118464547	0.348502391407781	0.703953380953798	0.0391995525073785	0	3.35637304733377	3.35637304733377	41.9995535846095	11.8863976215212	0	23.39437048
7/9/2001	33.5832063924908	11.6443732544321	1.58219840919589E-05	0	0	0	3.43116390413659	3.38970229116673	39.8567547018631	7.09772775944056	0	1.2883558
7/10/2001	34.8749141407476	11.9537073417891	7.1831696647789E-10	0	0	0	3.47043895292158	3.40328883208803	36.3863250217805	4.2646577769758	0	0
7/11/2001	35.6962358128794	12.1899563588801	3.26115398253267E-14	0	0	0	3.62250843854123	3.55241589989633	32.7638262030661	2.57487630450304	0	0
7/12/2001	36.2122512343485	12.3686397093397	1.48056161751572E-18	0	0	0	3.65179061624273	3.6033117521655	30.258363171749	1.56107207184558	0	1.14631795
7/13/2001	36.5320404720591	12.5024087761264	6.72173934442371E-23	0	0	0	3.55748917845207	3.48865471043628	26.7008833156326	0.949857386270831	0	0
7/14/2001	36.7252632171103	12.6013732471137	3.05166494118281E-27	0	0	0	3.52373013630275	3.45554887872349	23.1771623473426	0.579813962123173	0	0
7/15/2001	36.8361638011831	12.6734984775801	1.38545373988431E-31	0	0	0	3.46618397976464	3.39911619358275	19.7109873184843	0.354956074876922	0	0
7/16/2001	36.8929203737437	12.7249979333408	6.28995024798915E-36	0	0	0	3.4926430480843	3.42506330187618	16.218353219151	0.217872568129699	0	0
7/17/2001	36.9136167139973	12.7606844708058	2.8556329946847E-40	0	0	0	3.51892301280824	3.45083477213188	12.6994391488474	0.134053487485485	0	0
7/18/2001	51.4339029115631	12.80075709334	0.0529058325155009	0.0214472171859052	0.0890221108435344	0	3.38815081276675	3.38815081276675	18.6161439070366	1.13867192733847	0	10.723387
7/19/2001	37.0106763170109	12.8203436655921	2.401921080227E-06	0	0	0	3.36459671933514	3.30024275785482	15.2902235400934	0.677512802748363	0	0.03866795
7/20/2001	75.4658736100501	12.8739500867806	0.148845315523216	0.0478040922897245	0.128271726490135	0	3.38884067549416	3.38884067549416	26.8040783687114	2.79790231497645	0	17.7111313
7/21/2001	37.2849735391796	12.9033093448366	6.75756687022614E-06	0	0	0	3.44693370507827	3.38023840225186	23.3571531104732	1.66000953829337	0	0
7/22/2001	41.4869348814888	13.0008937442526	0.0133105919602721	0.0062984928358	0.0501169696529127	0	3.66570659934201	3.66570659934201	26.0117201245383	1.55920741934079	0	6.94380127
7/23/2001	37.7591453178185	13.0282957860447	6.0429994009319E-07	0	0	0	3.85710749160986	3.78247566959404	22.1546218941264	0.932761119441262	0	0
7/24/2001	37.9051950335862	13.0752350780316	2.74351748357073E-11	0	0	0	3.9366726673185	3.86050132677555	18.2179585777957	0.561557177836207	0	0
7/25/2001	37.9846941308313	13.1153526144977	7.94663110292597E-06	0	0.00137364227308704	0	4.02996457232401	4.02996457232401	18.2761199318531	0.388500822710794	0	4.10137473
7/26/2001	44.8824594517749	13.1361730937132	0.0246858169883443	0.0105249620355555	0.065424217538032	0	4.18432011364029	4.18432011364029	22.0417800044839	0.911334569075976	0	8.84144297
7/27/2001	38.0651164871287	13.1499895263325	1.12073435739914E-06	0	0	0	4.13909574103664	4.05900768724262	17.902693760049	0.543867056506071	0	0
7/28/2001	38.1960033940495	13.1795041752729	0.000318714471511518	0	0.00856649265290114	0	4.08131180438361	4.08131180438361	18.2764664203785	0.427698707156981	0	4.540523772
7/29/2001	38.1383805819492	13.1852660721121	1.44696146208877E-08	0	0	0	4.05150782824029	3.97866281546775	14.5117135437361	0.257278723554861	0	0.2867458872
7/30/2001	38.1379906511662	13.1939849937324	6.56919487478867E-13	0	0	0	3.96462336017723	3.88791120648544	10.5470989368787	0.155611156892288	0	0
7/31/2001	38.1151567012592	13.196589049705	2.98240985911702E-17	0	0	0	3.92036684231455	3.84451101699671	6.62674063249407	0.0945281670408315	0	0
8/1/2001	38.0781369658489	13.194569418442	1.35401198126852E-21	0	0	0	3.8237582335739	3.7497717058511	2.8029906094787	0.057632075179692	0	0
