 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	rlulery
Date:	6/27/2013 11:49:57 AM
StationID:	0
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	AET(mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
6/14/2001	5.36912291521311	4.79056746278886	3.68290471267342E-41	0	0	0	3.63968878438832	3.59528146592964	11.6979565551452	0.071686597232548	0	0.466488878
6/15/2001	5.44023166320874	4.78829329601936	0.00197966135569211	0	0.0175285451395126	0	3.75750398507389	3.75750398507389	12.8270402296464	0.282864155381116	0	5.15140335
6/16/2001	5.36534482147022	4.78773977735364	8.98764865019727E-08	0	0	0	3.73469272715961	3.68242746446516	9.09228095476266	0.193216908375153	0	0
6/17/2001	5.36400577099051	4.78670915012429	4.0803861744929E-12	0	0	0	3.86897536104551	3.81483087773973	5.2232365503405	0.132584800231709	0	0
6/18/2001	5.36185462381131	4.7849945842946	1.85249245725739E-16	0	0	0	4.09041753454555	4.03317407383283	1.1327459347278	0.0913080894520032	0	0
6/19/2001	5.35907112435445	4.78273481044365	8.4103027444973E-21	0	0	0	4.2495679318407	1.22998043564856	0	0.0630715870127218	0	0.058518027
6/20/2001	5.35579466487359	4.78004019111883	3.81827153881402E-25	0	0	0	4.263712682268	0.0682501728295323	0	0.0436803435865422	0	0.020973532
6/21/2001	5.35213249409545	4.77699869282758	1.73349259676124E-29	0	0	0	4.23251293319832	3.51068632226616	0	0.0303201220850143	0	3.502551145
6/22/2001	5.34816776729077	4.77368054150023	7.8700442136663E-34	0	0	0	4.04759965021787	1.00942708172323	0	0.0210893832551615	0	0.975191036
6/23/2001	5.34396535096251	4.77014187468872	3.57299454527855E-38	0	0	0	3.82969332184546	0.0426740837119317	0	0.0146960891400121	0	0
6/24/2001	5.33957609665997	4.7664276194735	1.62213701397226E-42	0	0	0	3.67281383939824	0.0409259824563175	0	0.01025834394108	0	0
6/25/2001	5.33504003443474	4.76257376769943	7.36449064994337E-47	0	0	0	3.46130002993202	0.038569093310883	0	0.00717190747682653	0	0
6/26/2001	5.33038878639886	4.75860917934296	3.34347358243752E-51	0	0	0	3.38936795438854	0.0377675561788487	0	0.00502142985584067	0	0
